kegg_function,kegg
Amino acid biosynthesis,K01755
Amino acid biosynthesis,K14681
Amino acid biosynthesis,K22478
Amino acid biosynthesis,K00145
Amino acid biosynthesis,K00821
Amino acid biosynthesis,K09065
Amino acid biosynthesis,K01438
Amino acid biosynthesis,K01940
Amino acid biosynthesis,K01755
Amino acid biosynthesis,K00931
Amino acid biosynthesis,K00147
Amino acid biosynthesis,K12657
Amino acid biosynthesis,K00286
Amino acid biosynthesis,K00673
Amino acid biosynthesis,K01484
Amino acid biosynthesis,K00840
Amino acid biosynthesis,K06447
Amino acid biosynthesis,K05526
Amino acid biosynthesis,K01745
Amino acid biosynthesis,K01712
Amino acid biosynthesis,K01468
Amino acid biosynthesis,K01479
Amino acid biosynthesis,K00603
Amino acid biosynthesis,K13990
Amino acid biosynthesis,K05603
Amino acid biosynthesis,K01458
Amino acid biosynthesis,K00765
Amino acid biosynthesis,K01523
Amino acid biosynthesis,K01496
Amino acid biosynthesis,K11755
Amino acid biosynthesis,K14152
Amino acid biosynthesis,K01814
Amino acid biosynthesis,K24017
Amino acid biosynthesis,K02501
Amino acid biosynthesis,K02500
Amino acid biosynthesis,K01663
Amino acid biosynthesis,K01693
Amino acid biosynthesis,K00817
Amino acid biosynthesis,K04486
Amino acid biosynthesis,K05602
Amino acid biosynthesis,K18649
Amino acid biosynthesis,K01089
Amino acid biosynthesis,K00817
Amino acid biosynthesis,K00013
Amino acid biosynthesis,K14152
Amino acid biosynthesis,K01657
Amino acid biosynthesis,K01658
Amino acid biosynthesis,K13503
Amino acid biosynthesis,K13501
Amino acid biosynthesis,K01656
Amino acid biosynthesis,K00766
Amino acid biosynthesis,K13497
Amino acid biosynthesis,K01817
Amino acid biosynthesis,K24017
Amino acid biosynthesis,K01656
Amino acid biosynthesis,K01609
Amino acid biosynthesis,K13498
Amino acid biosynthesis,K13501
Amino acid biosynthesis,K01695
Amino acid biosynthesis,K01696
Amino acid biosynthesis,K06001
Amino acid biosynthesis,K01694
Amino acid biosynthesis,K01850
Amino acid biosynthesis,K04092
Amino acid biosynthesis,K14187
Amino acid biosynthesis,K04093
Amino acid biosynthesis,K04516
Amino acid biosynthesis,K06208
Amino acid biosynthesis,K06209
Amino acid biosynthesis,K01713
Amino acid biosynthesis,K04518
Amino acid biosynthesis,K05359
Amino acid biosynthesis,K14170
Amino acid biosynthesis,K00832
Amino acid biosynthesis,K00838
Amino acid biosynthesis,K01850
Amino acid biosynthesis,K04092
Amino acid biosynthesis,K14170
Amino acid biosynthesis,K04093
Amino acid biosynthesis,K04516
Amino acid biosynthesis,K06208
Amino acid biosynthesis,K06209
Amino acid biosynthesis,K04517
Amino acid biosynthesis,K00211
Amino acid biosynthesis,K14187
Amino acid biosynthesis,K00832
Amino acid biosynthesis,K00838
Amino acid biosynthesis,K01850
Amino acid biosynthesis,K04092
Amino acid biosynthesis,K14170
Amino acid biosynthesis,K00832
Amino acid biosynthesis,K15849
Amino acid biosynthesis,K00220
Amino acid biosynthesis,K24018
Amino acid biosynthesis,K15227
Amino acid biosynthesis,K09470
Amino acid biosynthesis,K09471
Amino acid biosynthesis,K09472
Amino acid biosynthesis,K09473
Amino acid biosynthesis,K00207
Amino acid biosynthesis,K17722
Amino acid biosynthesis,K17723
Amino acid biosynthesis,K01464
Amino acid biosynthesis,K01431
Amino acid biosynthesis,K06016
Amino acid biosynthesis,6.2.1.17
Amino acid biosynthesis,1.3.8.1
Amino acid biosynthesis,4.2.1.116
Amino acid biosynthesis,3.1.2.4
Amino acid biosynthesis,1.1.1.59
Amino acid biosynthesis,2.6.1.18
Amino acid biosynthesis,K00618
Amino acid biosynthesis,K00619
Amino acid biosynthesis,K14681
Amino acid biosynthesis,K14682
Amino acid biosynthesis,K00620
Amino acid biosynthesis,K22477
Amino acid biosynthesis,K22478
Amino acid biosynthesis,K00930
Amino acid biosynthesis,K22478
Amino acid biosynthesis,K00145
Amino acid biosynthesis,K12659
Amino acid biosynthesis,K00818
Amino acid biosynthesis,K00821
Amino acid biosynthesis,K01438
Amino acid biosynthesis,K14677
Amino acid biosynthesis,K00620
Amino acid biosynthesis,K19412
Amino acid biosynthesis,K05828
Amino acid biosynthesis,K05829
Amino acid biosynthesis,K05830
Amino acid biosynthesis,K05831
Amino acid biosynthesis,2.3.1.1
Amino acid biosynthesis,2.7.2.8
Amino acid biosynthesis,1.2.1.38
Amino acid biosynthesis,2.6.1.11
Amino acid biosynthesis,3.5.1.16
Amino acid derivative biosynthesis,1.1.99.1
Amino acid derivative biosynthesis,1.2.1.8
Amino acid derivative biosynthesis,2.1.1.156
Amino acid derivative biosynthesis,2.1.1.157
Amino acid derivative biosynthesis,K00928
Amino acid derivative biosynthesis,K00133
Amino acid derivative biosynthesis,K00836
Amino acid derivative biosynthesis,K06718
Amino acid derivative biosynthesis,K06720
Amino acid derivative biosynthesis,K01583
Amino acid derivative biosynthesis,K01584
Amino acid derivative biosynthesis,K01585
Amino acid derivative biosynthesis,K02626
Amino acid derivative biosynthesis,K01480
Amino acid derivative biosynthesis,K01476
Amino acid derivative biosynthesis,K01581
Amino acid derivative biosynthesis,4.1.1.28
Amino acid derivative biosynthesis,4.1.1.105
SCFA biosynthesis,K00625
SCFA biosynthesis,K13788
SCFA biosynthesis,K15024
SCFA biosynthesis,K00925
SCFA biosynthesis,K01067
SCFA biosynthesis,5.4.3.2
SCFA biosynthesis,5.4.3.3
SCFA biosynthesis,1.4.1.11
SCFA biosynthesis,2.3.1.247
SCFA biosynthesis,1.3.1.109
SCFA biosynthesis,2.8.3.9
SCFA biosynthesis,2.3.1.9
SCFA biosynthesis,2.3.1.16
SCFA biosynthesis,2.3.1.8
SCFA biosynthesis,2.7.2.1
SCFA biosynthesis,2.7.2.15
SCFA biosynthesis,1.21.4.2
SCFA biosynthesis,2.7.2.1
SCFA biosynthesis,2.7.2.15
SCFA biosynthesis,1.2.7.1
SCFA biosynthesis,1.2.1.104
SCFA biosynthesis,2.3.1.8
SCFA biosynthesis,2.7.2.1
SCFA biosynthesis,2.7.2.15
SCFA biosynthesis,1.2.7.1
SCFA biosynthesis,2.3.1.9
SCFA biosynthesis,2.3.1.16
SCFA biosynthesis,1.1.1.35
SCFA biosynthesis,4.2.1.150
